Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
Sovereign Debt Defaults,Seychelles - 1984,Other developing countries; Seychelles in default with Other_Official_Creditors,1984,1984,0.8,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Seychelles - 1986,"Other developing countries; Seychelles in default with Other_Official_Creditors, Private_Creditors, FC_Bank_Loans, IBRD, Paris_Club, FC_Bonds, China",1986,2013,483,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Seychelles - 2015,Other developing countries; Seychelles in default with Paris_Club,2015,2015,30,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Sierra Leone - 1970,"HIPC countries; Sierra Leone in default with Private_Creditors, Other_Official_Creditors, Paris_Club, IMF, FC_Bank_Loans, IDA, IBRD, China",1970,2021,1004.944874,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Slovenia - 1992,Other developing countries; Slovenia in default with FC_Bank_Loans,1992,1996,812,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Solomon Islands - 1990,"Other developing countries; Solomon Islands in default with Other_Official_Creditors, Private_Creditors",1990,1992,8.877,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Solomon Islands - 1994,"Other developing countries; Solomon Islands in default with Private_Creditors, Other_Official_Creditors, LC_Debt, IDA",1994,2012,113.777,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Somalia - 1974,"Other developing countries; Somalia in default with Other_Official_Creditors, Private_Creditors, IMF, Paris_Club, IDA, China",1974,2021,5371.295,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,South Africa - 1985,Emerging/frontier markets; South Africa in default with FC_Bank_Loans,1985,1987,16900,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,South Africa - 1989,Emerging/frontier markets; South Africa in default with FC_Bank_Loans,1989,1989,7500,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,South Africa - 1993,Emerging/frontier markets; South Africa in default with FC_Bank_Loans,1993,1993,5000,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,South Africa - 2004,Emerging/frontier markets; South Africa in default with Other_Official_Creditors,2004,2005,0.0714635,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,South Africa - 2019,Emerging/frontier markets; South Africa in default with Other_Official_Creditors,2019,2019,0.0041485,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,South Sudan - 2013,"Other developing countries; South Sudan in default with Other_Official_Creditors, Private_Creditors, FC_Bank_Loans",2013,2020,2040,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Sri Lanka - 1971,"Emerging/frontier markets; Sri Lanka in default with Private_Creditors, Other_Official_Creditors",1971,1977,1.9329408,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Sri Lanka - 1988,"Emerging/frontier markets; Sri Lanka in default with Private_Creditors, Other_Official_Creditors, LC_Debt",1988,2003,432.4481186,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Sri Lanka - 2005,"Emerging/frontier markets; Sri Lanka in default with Paris_Club, Other_Official_Creditors",2005,2005,444.0241549,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Sri Lanka - 2007,"Emerging/frontier markets; Sri Lanka in default with Other_Official_Creditors, Private_Creditors, China",2007,2021,1294.8722,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,St. Kitts & Nevis - 1989,Other developing countries; St. Kitts & Nevis in default with Other_Official_Creditors,1989,1989,0.2,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,St. Kitts & Nevis - 1992,"Other developing countries; St. Kitts & Nevis in default with Other_Official_Creditors, Private_Creditors, Paris_Club, FC_Bank_Loans, FC_Bonds",1992,2014,758,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,St. Kitts & Nevis - 2016,Other developing countries; St. Kitts & Nevis in default with FC_Bank_Loans,2016,2016,44.98,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,St. Lucia - 1984,"Other developing countries; St. Lucia in default with IMF, Other_Official_Creditors, Private_Creditors",1984,1995,1.3662843,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
