Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
Major oil spills,Jose Fuchs,"Location: Chile, Moraleda Channel, Owner: NA",2001-05-25,,150,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,2001 Shell Ogoniland oil spill,"Location: Nigeria, Owner: Royal Dutch Shell",May 2001,,,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Petrobras 36,"Location: Brazil, Roncador Oil Field, Campos Basin, Owner: NA",2001-03-15,,274,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Amorgos oil spill,"Location: Taiwan, Southern coast, Owner: NA",2001-01-14,,1150,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Jessica,"Location: Ecuador, Galapagos Islands, Owner: NA",2001-01-20,,568,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Pine River,"Location: Canada, Chetwynd, British Columbia, Owner: NA",2000-08-01,,850,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Project Deep Spill,"Location: Norway, Helland Hansen ridge, Owner: NA",June 2000,,100,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Treasure,"Location: South Africa, Cape Town, Owner: NA",June 2000,,1400,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Petrobras pipeline,"Location: Brazil, Guanabara Bay, Rio de Janeiro, Owner: NA",January 2000,,1100,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Erika,"Location: France, Bay of Biscay, Owner: Total S.A.",1999-12-12,,20000,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Chanda,"Location: Port Stanvac, South Australia, Owner: Essar Shipping",1999-06-28,,225,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,MV New Carissa,"Location: United States, Coos Bay, Oregon, Owner: NA",1999-02-04,1999-03-09,230,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Mobil Nigeria oil spill,"Location: Nigeria, Owner: NA",1998-01-12,,5500,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Nakhodka,"Location: Japan, Sea of Japan, Owner: NA",December 1997,,6240,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
